seed,episode_id,success,src_on_target
0,0,1,1
0,1,0,0
0,2,1,1
0,3,1,1
0,4,0,0
0,5,0,0
0,6,1,1
0,7,1,1
0,8,1,1
0,9,1,1
0,10,0,0
0,11,1,1
0,12,0,0
0,13,0,0
0,14,1,1
0,15,0,0
0,16,1,1
0,17,1,1
0,18,0,0
0,19,0,0
0,20,1,1
0,21,1,1
0,22,1,1
0,23,1,1
1,0,1,1
1,1,0,0
1,2,1,1
1,3,1,1
1,4,0,0
1,5,0,0
1,6,1,1
1,7,0,0
1,8,0,0
1,9,1,1
1,10,0,0
1,11,1,1
1,12,0,0
1,13,1,1
1,14,1,1
1,15,0,0
1,16,0,0
1,17,1,1
1,18,1,1
1,19,0,0
1,20,1,1
1,21,1,1
1,22,1,1
1,23,1,1
2,0,1,1
2,1,0,0
2,2,1,1
2,3,0,0
2,4,0,0
2,5,1,1
2,6,1,1
2,7,0,0
2,8,1,1
2,9,1,1
2,10,1,1
2,11,1,1
2,12,0,0
2,13,0,0
2,14,1,1
2,15,0,0
2,16,0,0
2,17,0,0
2,18,0,0
2,19,0,0
2,20,1,1
2,21,0,0
2,22,0,0
2,23,1,1

# seed subtotals (successes out of 24)
# seed0,,15,24
# seed1,,14,24
# seed2,,11,24
# TOTAL,,40,72
