student_policy,eid_set,phase,n,mean_d_mean_world_x,mean_d_mean_world_y,mean_d_mean_world_z,mean_d_mean_xy_norm,mean_d_mean_rot_norm,mean_d_mean_raw_open,mean_d_close_frac,mean_d_open_frac
v1_300k,"{2,11,14,23}",early,4,+0.000219,-0.000983,-0.006929,-0.002196,+0.003108,+0.190545,-0.418750,+0.418750
v1_300k,"{2,11,14,23}",mid,4,-0.000594,+0.006448,-0.002770,-0.000188,+0.016958,-0.029700,+0.137500,-0.137500
v1_300k,"{2,11,14,23}",late,4,+0.000221,+0.000430,-0.010343,-0.001106,-0.000022,+0.080075,-0.068750,+0.068750
v1_300k,"{2,11,14,23}",all,4,-0.000051,+0.001965,-0.006681,-0.001164,+0.006681,+0.080307,-0.116667,+0.116667
step0_305k,"{2,11,14,23}",early,4,+0.000583,-0.001803,-0.006420,-0.002435,-0.002709,+0.162423,-0.362500,+0.362500
step0_305k,"{2,11,14,23}",mid,4,+0.001721,+0.006229,-0.000705,-0.000769,+0.010613,-0.066635,+0.125000,-0.125000
step0_305k,"{2,11,14,23}",late,4,+0.002729,+0.000222,-0.007254,-0.000437,+0.006329,+0.073372,-0.075000,+0.075000
step0_305k,"{2,11,14,23}",all,4,+0.001678,+0.001549,-0.004793,-0.001214,+0.004744,+0.056386,-0.104167,+0.104167
step1_305k,"{2,11,14,23}",early,4,+0.000885,-0.000400,-0.006139,-0.001563,-0.001971,+0.148074,-0.331250,+0.331250
step1_305k,"{2,11,14,23}",mid,4,+0.002340,+0.008208,+0.000055,+0.002095,+0.013801,-0.170814,+0.418750,-0.418750
step1_305k,"{2,11,14,23}",late,4,+0.002309,+0.002648,-0.008060,-0.002209,-0.003699,+0.059013,-0.056250,+0.056250
step1_305k,"{2,11,14,23}",all,4,+0.001845,+0.003485,-0.004715,-0.000559,+0.002711,+0.012091,+0.010417,-0.010417
repaired_8000,"{2,11,14,23}",early,4,-0.000328,-0.000512,-0.000461,-0.000539,-0.001404,+0.032506,-0.125000,+0.125000
repaired_8000,"{2,11,14,23}",mid,4,-0.000860,+0.002720,+0.003679,-0.002087,-0.003431,-0.074615,+0.168750,-0.168750
repaired_8000,"{2,11,14,23}",late,4,+0.002034,+0.001777,-0.000653,-0.002181,-0.014764,-0.070887,+0.193750,-0.193750
repaired_8000,"{2,11,14,23}",all,4,+0.000282,+0.001328,+0.000855,-0.001602,-0.006533,-0.037665,+0.079167,-0.079167
