checkpoint,offset,segment,absorption_frac,n_episodes,source_path
v1_300k,0.000,full,,3,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.000,late,,3,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.002,full,-0.8300,3,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.002,late,-2.4200,3,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.004,full,+0.1875,3,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.004,late,+0.2700,3,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.006,full,+0.3217,3,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.006,late,+0.0533,3,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.008,full,-0.4800,2,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.008,late,-0.5012,2,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.012,full,,0,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.012,late,,0,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.020,full,-0.2045,5,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
v1_300k,0.020,late,-0.2840,5,~/SimplerEnv_stable/z_offset_absorption.csv|eval_logs_zoffset_ztrace
repaired_8000,0.000,full,,6,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.000,late,,6,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.002,full,+0.8028,6,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.002,late,+1.2113,6,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.004,full,+1.0188,6,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.004,late,+1.1270,6,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.006,full,+0.9865,6,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.006,late,+1.1082,6,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.008,full,+0.9124,3,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.008,late,+0.8121,3,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.012,full,+0.0612,1,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.012,late,-0.0542,1,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.020,full,,0,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
repaired_8000,0.020,late,,0,eval_logs_e1_rep8000_ztrace|e1_absorption_detail_rep8000.csv
teacher15,0.000,full,,6,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.000,late,,6,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.002,full,+0.0901,6,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.002,late,-0.0440,6,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.004,full,+1.0994,6,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.004,late,+1.0979,6,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.006,full,+0.8204,6,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.006,late,+0.8793,6,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.008,full,+0.7429,3,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.008,late,+0.9679,3,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.012,full,+0.2515,1,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.012,late,+0.2202,1,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.020,full,,0,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
teacher15,0.020,late,,0,eval_logs_e1_tea15_ztrace|e1_absorption_detail_tea15.csv
zerocontrol_8000,0.000,full,,4,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.000,late,,4,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.002,full,+1.0800,3,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.002,late,+1.9321,3,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.004,full,+1.2450,3,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.004,late,+1.8747,3,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.006,full,+0.4614,2,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.006,late,+0.6574,2,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.008,full,+0.6494,3,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.008,late,+0.9421,3,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.012,full,,0,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.012,late,,0,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.020,full,-0.0900,3,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
zerocontrol_8000,0.020,late,-0.0524,3,eval_logs_e1_zc8000_ztrace|e1_absorption_detail_zc8000.csv
